s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,s_Vol2,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol,e_Vol2
67,Louangphrabang,19.88453432,102.1416101,77260,Laos,12,564,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
68,Lujan,-34.57960895,-59.10999435,69744.5,Argentina,12,868,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
69,Santiago del Estero,-27.78333128,-64.26665633,317549.5,Argentina,32,700,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
70,Junin,-34.58456989,-60.95887374,66141.5,Argentina,2,889,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
71,Kagoshima,31.58596478,130.561064,536092.5,Japan,15,825,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
72,Kakamega,0.290407327,34.7300142,63426,Kenya,18,1004,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
73,Kalamata,37.03891359,22.11419511,61465.5,Greece,13,964,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
74,Kalamazoo,42.29215883,-85.58718958,128759.5,United States of America,18,555,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
75,Kamensk Uralskiy,56.42046958,61.9350203,176598.5,Russia,22,1004,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
76,Kampong Cham,12.00044191,105.4500386,72491.5,Cambodia,5,774,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
77,Kamyanets-Podilskyy,48.68430096,26.58089921,107329,Ukraine,22,773,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
78,Kamyshin,50.08039146,45.40000891,82613,Russia,32,598,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
79,Kanazawa,36.56000226,136.6400211,505093,Japan,21,806,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
80,Kanoya,31.38331565,130.8500386,68513.5,Japan,36,543,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
81,Rostock,54.07038047,12.14999711,200686.5,Germany,36,820,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
82,Skopje,42.00000612,21.43346147,484488,Macedonia,35,626,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
83,Townsville,-19.24995034,146.7699971,129212,Australia,17,700,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
84,Szekesfehervar,47.19467613,18.40806474,122959.5,Hungary,8,989,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
85,Van,38.49543968,43.39997595,326262,Turkey,21,588,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
86,Mainz,49.98247246,8.273219156,184997,Germany,10,538,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
87,Maizuru,35.4504059,135.3333309,62531.5,Japan,10,557,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
88,Makkah,21.43002138,39.82003943,1354312,Saudi Arabia,3,972,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
89,Malacca,2.206414407,102.2464615,645916.5,Malaysia,23,704,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
90,Maladzyechna,54.31878908,26.86532629,96055,Belarus,1,686,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
91,Malanje,-9.540000388,16.34002559,106451,Angola,7,891,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
92,Male,4.16670819,73.49994747,108310,Maldives,19,767,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
93,Santo Domingo,18.47007285,-69.90008508,1078436.5,Dominican Republic,15,855,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
94,Takamatsu,34.34473696,134.044779,329861.5,Japan,6,962,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
95,Velikiy Novgorod,58.4999809,31.33001501,218717,Russia,18,708,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
96,Mar del Plata,-38.00002033,-57.57998438,554916,Argentina,20,842,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
97,Marbella,36.51661989,-4.88333012,153069.5,Spain,27,968,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
98,Marietta,33.95561342,-84.54324813,61360,United States of America,23,733,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
99,Maseru,-29.31667438,27.48327307,239839.5,Lesotho,36,678,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
100,Masvingo,-20.05961668,30.8200203,76300.5,Zimbabwe,15,505,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
101,Mataro,41.53995668,2.45002071,149826,Spain,4,815,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
102,Matsue,35.46699404,133.0666475,150527,Japan,14,844,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
103,Matsumoto,36.2404352,137.9700175,217796.5,Japan,4,629,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
104,Matsuyama,33.84554262,132.765839,525089,Japan,36,673,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
105,Medenine,33.399999,10.41669956,61705,Tunisia,11,695,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
106,Medina,24.49998903,39.5800024,1010000,Saudi Arabia,14,787,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
107,Melbourne,28.08331036,-80.60832035,170870,United States of America,24,602,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
108,Melbourne,-37.82003131,144.9750162,2131812.5,Australia,11,740,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
109,Metairie,29.98386619,-90.15277653,270171,United States of America,20,506,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
110,Tacoma,47.21131594,-122.5150131,460273,United States of America,29,885,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
111,Vancouver,49.27341658,-123.1216442,1458415,Canada,24,987,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
112,Columbia,38.95207847,-92.33390955,244754,United States of America,25,852,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
113,Adapazari,40.79997601,30.4150321,260109,Turkey,19,619,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
114,Adelaide,-34.93498777,138.6000048,990677,Australia,26,970,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
115,Aguascalientes,21.87945992,-102.2904135,763589.5,Mexico,9,897,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
116,Akron,41.07039878,-81.51999597,451155,United States of America,19,551,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
117,Al Ahmadi,29.0769448,48.08377274,68763,Kuwait,31,948,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
118,Al Jahra,29.33747154,47.6580623,194193,Kuwait,20,767,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
119,Albacete,39.00034426,-1.869999839,127597,Spain,20,909,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
120,Albany,42.67001691,-73.81994918,484286,United States of America,35,945,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
1,Alexandria,38.82043276,-77.09998153,127273,United States of America,4,745,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
122,Algeciras,36.12671215,-5.466530363,106687.5,Spain,8,806,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
123,Algiers,36.7630648,3.05055253,2665831.5,Algeria,10,788,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
124,Allentown,40.59998822,-75.50002751,300980.5,United States of America,36,702,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
125,Gisenyi,-1.684665915,29.26290605,83623,Rwanda,6,626,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
126,Gitarama,-2.069603659,29.75998165,87613,Rwanda,32,530,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
127,Gliwice,50.3303762,18.67001257,353252.5,Poland,32,633,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
128,Gold Coast,-28.08150429,153.4482458,429954.5,Australia,26,920,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
129,Goya,-29.13999266,-59.26998458,71274.5,Argentina,36,774,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
130,Graz,47.0777582,15.41000484,242780,Austria,28,799,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
131,Great Falls,47.50029055,-111.299987,61316.5,United States of America,11,595,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
132,Greeley,40.41919822,-104.739974,106142.5,United States of America,17,724,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
133,Greensboro,36.07000633,-79.80002344,310328,United States of America,32,648,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
134,Greenville,35.61287661,-77.3666836,81661,United States of America,7,942,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
135,San Pedro de Macoris,18.4503583,-69.29996668,211019.5,Dominican Republic,7,863,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
136,Stockton,37.95813397,-121.289739,488506.5,United States of America,22,922,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
137,Usti Nad Labem,50.66299816,14.08100455,94105,Czech Republic,9,949,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
138,Mexicali,32.64998252,-115.4800161,736138.5,Mexico,29,649,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
139,Middlesbrough,54.58037518,-1.230013063,279374.5,United Kingdom,6,570,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
140,Midland,32.030718,-102.0974996,98141.5,United States of America,31,724,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
141,Mito,36.37042727,140.4800451,300215,Japan,19,706,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
142,Moca,19.39699814,-70.52300059,61834,Dominican Republic,5,998,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
143,Modesto,37.65541343,-120.9899899,269697,United States of America,25,788,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
144,Mombasa,-4.040026022,39.68991817,840834,Kenya,12,558,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
145,Rio Largo,-9.48000405,-35.83996769,110966,Brazil,24,715,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
146,Shenzhen,22.55237051,114.1221231,4291796,China,31,646,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
147,Toowoomba,-27.56453327,151.9555204,86711,Australia,30,821,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
148,Santa Fe,35.68692893,-105.9372394,80943,United States of America,7,772,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
149,Svobodnyy,51.40617617,128.1311865,62318.5,Russia,36,837,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
150,Utsunomiya,36.54997703,139.8700048,558808.5,Japan,6,672,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
151,Salerno,40.68039675,14.76994055,546922,Italy,31,940,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
152,St. Cloud,45.56120994,-94.16222172,85974,United States of America,30,697,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
153,Tuzla,44.5504706,18.6800378,143410,Bosnia and Herzegovina,27,887,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
154,Kitami,43.8503583,143.8999914,103971.5,Japan,14,836,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
155,Kitchener,43.44999514,-80.50000655,413056.5,Canada,13,657,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
156,Klagenfurt,46.62034426,14.3100203,88588,Austria,10,682,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
157,Klerksdorp,-26.88002724,26.62001827,163362.5,South Africa,26,754,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
158,Koblenz,50.35047833,7.599990599,209976,Germany,6,565,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
159,Kofu,35.6503937,138.5833134,193770,Japan,23,744,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
160,Kokshetau,53.29998822,69.41998979,126658.5,Kazakhstan,24,773,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
161,Kolpino,59.73000917,30.65000484,180938.5,Russia,22,640,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
162,Kolwezi,-10.71672443,25.47243974,418000,Congo (Kinshasa),7,582,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
163,Kompong Chhnang,12.25047833,104.6666239,65817,Cambodia,31,868,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
164,Konotop,51.24238771,33.20902177,97672.5,Ukraine,13,968,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
165,Koriyama,37.40997622,140.3799996,302581,Japan,19,719,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
166,Koudougou,12.25047833,-2.369995159,85339,Burkina Faso,30,805,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
167,Kraków,50.05997927,19.96001135,755525,Poland,4,646,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
168,Kroonstad,-27.66003131,27.2100081,88413.5,South Africa,32,604,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
169,Ksar El Kebir,35.02038047,-5.909985801,207676.5,Morocco,25,781,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
170,Kuala Lumpur,3.166665872,101.6999833,1448000,Malaysia,27,645,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
171,Kuopio,62.89428632,27.69493974,90502,Finland,6,575,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
172,Ceuta,35.88898378,-5.30699935,78674,Spain,11,783,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
173,Chalkida,38.46399457,23.61239823,63200,Greece,11,579,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
174,Changde,29.02999676,111.6800459,993390,China,31,944,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
175,Charlottesville,38.02918907,-78.47692591,61314,United States of America,17,532,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
176,Helsingborg,56.05049217,12.70004106,91164.5,Sweden,12,898,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
177,Higuey,18.61599603,-68.70799749,123787,Dominican Republic,26,1002,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
178,Hinthada,17.64826255,95.46785722,157837.5,Myanmar,3,722,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
179,Hirosaki,40.56999005,140.4700199,171700.5,Japan,5,652,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
180,Honiara,-9.437994295,159.9497657,66313,Solomon Islands,34,577,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
181,Hradec Kralove,50.20599617,15.81200153,95195,Czech Republic,12,708,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
182,Huanuco,-9.920028871,-76.24000818,153052,Peru,6,645,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
183,Huaraz,-9.530026836,-77.53000696,74986.5,Peru,26,653,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
184,Huelva,37.25037355,-6.929949383,119732,Spain,17,876,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
185,Ioanina,39.66790041,20.85086137,75158,Greece,33,955,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
186,Iowa City,41.66108624,-91.52997929,81343,United States of America,25,605,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
187,Ipatinga,-19.4796004,-42.51999923,318320,Brazil,15,659,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
188,Rock Island,41.49339622,-90.53461369,102055.5,United States of America,21,839,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
189,Sivas,39.74541506,37.03498979,245801.5,Turkey,31,927,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
190,Toulon,43.13418645,5.918821566,263197,France,35,864,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
191,Borisoglebsk,51.36871075,42.08873816,64995,Russia,31,974,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
192,Boston,42.32996014,-71.07001367,2528070.5,United States of America,7,728,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
193,Boulder,40.03844627,-105.246093,106897.5,United States of America,30,843,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
194,Butare,-2.589623597,29.73000932,77000,Rwanda,7,865,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
195,Bydgoszcz,53.12041262,18.01000118,366222,Poland,4,548,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
196,Bytom,50.35003908,18.90999792,425716.5,Poland,7,823,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
197,Caxias do Sul,-29.17999022,-51.17003972,377580.5,Brazil,4,866,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
198,Cerro de Pasco,-10.69000771,-76.26998051,108071,Peru,27,781,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
199,Ceske Budejovice,48.98001935,14.46003699,97452,Czech Republic,20,881,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
200,Hyderabad,25.379987,68.37498897,1422665,Pakistan,24,934,562,Reykjavík,64.15002362,-21.95001449,140059,Iceland,1241978,27
201,Iligan,8.171244119,124.2153531,464599,Philippines,2,799,562,Reykjavík,64.15002362,-21.95001449,140059,Iceland,1241978,27
202,Iloilo,10.70504295,122.5450158,387681,Philippines,4,940,562,Reykjavík,64.15002362,-21.95001449,140059,Iceland,1241978,27
203,Kupang,-10.17866941,123.5829886,270798,Indonesia,24,753,562,Reykjavík,64.15002362,-21.95001449,140059,Iceland,1241978,27
